school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,building_name,_schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
2015-16,X131,,885 BOLTON AVENUE CONSOLIDATED LOCATION,,885 BOLTON AVENUE,X,8.0,901.0,885 BOLTON AVENUE CONSOLIDATED LOCATION,3,J.H.S. 131 Albert Einstein |  Soundview Academy for Culture and Scholarship |  Success Academy Charter School - Bronx 4 - New York 2 | 885 BOLTON AVENUE CONSOLIDATED LOCATION ,0.0,3.0,4.0,1.0,2.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BRONX,10473.0,40.823526,-73.859662,9.0,18.0,42.0,2103869.0,2036440001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
2015-16,X131,08X448,Soundview Academy for Culture and Scholarship,X448,885 BOLTON AVENUE,X,8.0,362.0,885 BOLTON AVENUE CONSOLIDATED LOCATION,2,J.H.S. 131 Albert Einstein |  Soundview Academy for Culture and Scholarship |  885 BOLTON AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10473.0,40.823526,-73.859662,9.0,18.0,42.0,2103869.0,2036440001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
2015-16,X131,08X131,J.H.S. 131 Albert Einstein,X131,885 BOLTON AVENUE,X,8.0,539.0,885 BOLTON AVENUE CONSOLIDATED LOCATION,2,J.H.S. 131 Albert Einstein |  Soundview Academy for Culture and Scholarship |  885 BOLTON AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,BRONX,10473.0,40.823526,-73.859662,9.0,18.0,42.0,2103869.0,2036440001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
2015-16,X130,08X130,P.S. 130 Abram Stevens Hewitt,X130,750 PROSPECT AVENUE,X,8.0,521.0,,1,P.S. 130 Abram Stevens Hewitt,0.0,0.0,0.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,10455.0,40.817721,-73.902421,2.0,17.0,85.0,2005168.0,2026880001.0,Longwood                                                                   
2015-16,X129,,2055 MAPES AVENUE CONSOLIDATED LOCATION,,2055 MAPES AVENUE,X,12.0,902.0,2055 MAPES AVENUE CONSOLIDATED LOCATION,2,M.S. 129 Academy for Independent Learning and Lead |  Kappa III |  2055 MAPES AVENUE CONSOLIDATED LOCATION,1.0,8.0,4.0,5.0,3.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BRONX,10460.0,40.845878,-73.886184,6.0,15.0,371.0,2012957.0,2031090001.0,East Tremont                                                               
2015-16,X129,12X316,Kappa III,X316,2055 MAPES AVENUE,X,12.0,359.0,2055 MAPES AVENUE CONSOLIDATED LOCATION,2,M.S. 129 Academy for Independent Learning and Lead |  Kappa III |  2055 MAPES AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10460.0,40.845878,-73.886184,6.0,15.0,371.0,2012957.0,2031090001.0,East Tremont                                                               
2015-16,X129,12X129,M.S. 129 Academy for Independent Learning and Lead,X129,2055 MAPES AVENUE,X,12.0,543.0,2055 MAPES AVENUE CONSOLIDATED LOCATION,2,M.S. 129 Academy for Independent Learning and Lead |  Kappa III |  2055 MAPES AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,BRONX,10460.0,40.845878,-73.886184,6.0,15.0,371.0,2012957.0,2031090001.0,East Tremont                                                               
2015-16,X127,,1560 PURDY STREET CONSOLIDATED LOCATION,,1560 PURDY STREET,X,11.0,1023.0,1560 PURDY STREET CONSOLIDATED LOCATION,2,J.H.S. 127 The Castle Hill |  Linden Tree Elementary School |  1560 PURDY STREET CONSOLIDATED LOCATION,1.0,1.0,3.0,1.0,1.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,BRONX,10462.0,40.837931,-73.853524,9.0,18.0,222.0,2041247.0,2039480055.0,Parkchester                                                                
2015-16,X127,11X567,Linden Tree Elementary School,X567,1560 PURDY STREET,X,11.0,272.0,1560 PURDY STREET CONSOLIDATED LOCATION,2,J.H.S. 127 The Castle Hill |  Linden Tree Elementary School |  1560 PURDY STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10462.0,40.837931,-73.853524,9.0,18.0,222.0,2041247.0,2039480055.0,Parkchester                                                                
2015-16,X127,11X127,J.H.S. 127 The Castle Hill,X127,1560 PURDY STREET,X,11.0,751.0,1560 PURDY STREET CONSOLIDATED LOCATION,2,J.H.S. 127 The Castle Hill |  Linden Tree Elementary School |  1560 PURDY STREET CONSOLIDATED LOCATION,,,,,,5C,751-1000,,,,,,BRONX,10462.0,40.837931,-73.853524,9.0,18.0,222.0,2041247.0,2039480055.0,Parkchester                                                                
2015-16,X126,09X126,P.S. 126 Dr Marjorie H Dunbar,X126,175 WEST 166 STREET,X,9.0,718.0,,1,P.S. 126 Dr Marjorie H Dunbar,1.0,1.0,1.0,1.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,10452.0,40.835784,-73.928324,4.0,16.0,199.0,2003495.0,2025260083.0,Highbridge                                                                 
2015-16,X125,,1111 PUGSLEY AVENUE CONSOLIDATED LOCATION,,1111 PUGSLEY AVENUE,X,8.0,674.0,1111 PUGSLEY AVENUE CONSOLIDATED LOCATION,2,J.H.S. 125 Henry Hudson |  Blueprint Middle School |  1111 PUGSLEY AVENUE CONSOLIDATED LOCATION,1.0,2.0,7.0,2.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,10472.0,40.829232,-73.856734,9.0,18.0,4001.0,2025717.0,2037900040.0,Soundview-Bruckner                                                         
